TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
3,F,1,1,1,1,1,1,,0,,,,,,,4104303,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,591.8,514.6,580.7,633.3,0,1.0,140.0,200.0,120.0,120.0,160.0,E,F,C,B,3,E,A,B,C,B,A,B,B,B,B,B,A,A,C,A,B,D,A,C,B
2,M,3,1,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,709.2,693.2,663.9,863.4,0,1.0,140.0,200.0,160.0,160.0,160.0,G,G,E,E,4,Q,D,E,C,B,B,C,C,B,B,B,C,B,E,B,B,E,A,E,B
2,M,2,1,1,2,0,2,1.0,0,4127700.0,41.0,PR,2.0,1.0,1.0,4127700,41,PR,0,1,1,0,,1058.0,1067.0,,,340.5,336.1,,0,1.0,100.0,120.0,80.0,100.0,80.0,D,D,D,B,3,D,B,B,D,C,A,B,B,B,B,B,A,B,C,A,B,D,A,B,B
1,M,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,445.3,512.3,546.7,618.5,0,4.0,0.0,0.0,0.0,0.0,0.0,F,E,D,B,5,F,A,D,D,B,A,B,B,B,A,B,A,B,C,A,B,E,B,C,B
3,M,1,1,1,2,0,2,1.0,0,4119608.0,41.0,PR,2.0,1.0,1.0,4119608,41,PR,0,1,1,0,,1057.0,1068.0,,,0.0,0.0,,1,4.0,0.0,0.0,0.0,0.0,0.0,E,E,C,C,4,B,A,B,D,B,A,B,A,B,B,B,A,B,B,A,B,E,A,A,B
3,F,1,1,1,1,1,1,,0,,,,,,,4108304,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,571.3,553.2,555.2,533.1,1,1.0,120.0,120.0,120.0,120.0,100.0,C,D,C,C,5,F,A,C,D,B,A,B,A,B,B,B,A,B,B,A,A,E,A,A,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,4101804,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,439.3,418.4,487.5,493.1,1,1.0,120.0,120.0,100.0,120.0,80.0,E,E,C,D,4,F,A,B,C,C,A,B,B,B,A,B,A,A,B,A,A,D,A,B,B
3,F,1,1,1,1,1,1,,0,,,,,,,4128203,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,453.5,531.7,541.5,527.8,0,1.0,120.0,200.0,140.0,180.0,180.0,E,E,A,B,2,C,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
2,M,1,3,1,2,0,2,1.0,0,4104808.0,41.0,PR,2.0,1.0,1.0,4104808,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,454.7,397.2,334.0,446.9,0,3.0,0.0,0.0,0.0,0.0,0.0,D,E,C,B,3,G,A,B,C,B,B,B,A,B,A,B,A,B,B,A,A,D,A,B,B
2,F,1,3,1,2,0,3,1.0,0,4115200.0,41.0,PR,4.0,1.0,1.0,4115200,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,643.4,635.2,651.3,704.4,0,1.0,180.0,180.0,140.0,180.0,200.0,E,F,F,D,4,H,A,C,D,B,A,B,B,B,B,B,A,A,B,A,A,E,A,A,B
13,M,3,1,1,1,0,1,,0,,,,,,,4125506,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,451.8,530.4,442.9,409.4,1,6.0,0.0,0.0,0.0,0.0,0.0,F,B,C,B,1,C,A,B,D,A,A,B,A,B,A,A,A,B,B,A,A,B,B,A,B
