TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
2,F,1,1,1,2,0,2,1.0,0,4106902.0,41.0,PR,2.0,1.0,1.0,4106902,41,PR,0,1,1,0,,1055.0,1065.0,,,347.4,385.5,,0,1.0,120.0,120.0,100.0,100.0,40.0,E,E,B,B,4,E,A,B,C,C,A,B,A,B,B,B,A,A,B,A,A,E,A,B,B
17,M,1,3,1,2,0,2,,0,4106902.0,41.0,PR,2.0,1.0,1.0,4106902,41,PR,0,1,1,0,,1057.0,1068.0,,,572.2,484.8,,0,1.0,120.0,40.0,40.0,120.0,40.0,B,B,C,F,1,A,A,B,C,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A
2,F,1,3,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,573.5,586.3,550.3,563.5,0,1.0,160.0,200.0,160.0,200.0,160.0,E,E,D,D,3,H,A,E,D,B,A,B,C,B,A,B,A,B,C,A,A,D,A,C,B
2,M,1,3,1,2,0,2,1.0,0,4106803.0,41.0,PR,2.0,1.0,1.0,4128203,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,417.9,450.2,474.7,405.3,1,1.0,140.0,120.0,100.0,160.0,160.0,H,E,F,B,5,B,A,B,D,A,A,B,B,B,B,B,A,A,B,A,B,E,A,A,B
4,F,1,3,1,1,2,1,,0,,,,,,,4104808,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,594.8,634.7,621.1,551.1,0,1.0,160.0,200.0,180.0,160.0,200.0,D,F,C,D,3,H,A,B,D,C,A,C,C,B,A,B,A,B,C,A,A,D,A,B,B
4,F,1,4,1,1,2,1,,0,,,,,,,4114302,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,653.8,654.8,635.7,695.6,0,1.0,160.0,200.0,160.0,200.0,200.0,E,E,D,D,5,J,B,D,E,B,A,B,B,B,B,B,A,B,C,A,B,E,A,C,B
2,F,1,1,1,2,0,2,1.0,0,4126256.0,41.0,PR,2.0,1.0,1.0,4126256,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,559.1,492.5,378.7,554.8,0,1.0,120.0,120.0,100.0,100.0,140.0,D,E,C,B,5,E,A,B,C,B,A,B,B,B,A,B,A,A,A,A,A,D,A,A,B
3,F,1,3,1,1,1,1,,0,,,,,,,4108304,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,485.2,494.0,508.8,438.6,1,1.0,100.0,120.0,80.0,120.0,40.0,D,D,C,B,3,F,A,C,C,B,B,B,A,B,A,B,A,B,C,A,B,D,A,B,B
1,F,1,1,1,3,0,1,,1,,,,,,,4115200,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,552.2,542.6,602.2,419.3,1,1.0,120.0,100.0,120.0,120.0,140.0,F,F,D,D,3,A,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,D,A,B,B
3,F,1,3,1,1,1,1,,0,,,,,,,4101408,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,421.2,460.3,409.0,419.9,1,1.0,120.0,160.0,120.0,120.0,100.0,H,E,C,B,3,D,A,B,D,B,A,B,B,B,A,B,A,B,A,B,B,D,A,A,B
2,F,1,1,1,2,0,2,1.0,0,4107736.0,41.0,PR,2.0,1.0,1.0,4110706,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,447.3,498.6,493.2,441.6,1,1.0,140.0,180.0,120.0,120.0,160.0,E,F,A,D,2,C,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,C,A,A,B
2,F,1,3,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,480.5,523.2,580.9,593.8,0,1.0,120.0,140.0,100.0,120.0,160.0,C,E,C,D,2,G,A,C,D,B,A,B,B,B,A,B,A,B,B,A,A,C,A,B,B
2,M,1,1,1,2,0,3,1.0,0,4104808.0,41.0,PR,4.0,1.0,1.0,4104808,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,573.0,624.2,613.2,637.4,0,1.0,160.0,200.0,200.0,180.0,160.0,G,F,D,D,4,N,A,D,D,B,A,B,C,B,A,B,A,B,C,A,A,E,B,C,B
3,M,1,1,1,2,0,2,1.0,0,,,,,,,4115804,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,449.3,554.2,513.8,443.4,0,1.0,100.0,120.0,100.0,100.0,100.0,E,E,F,F,4,D,A,B,E,B,B,B,B,B,A,B,A,A,B,A,A,E,A,B,B
1,F,1,1,1,3,0,1,,1,,,,,,,4115804,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,427.9,543.3,519.9,638.6,1,1.0,120.0,40.0,40.0,120.0,20.0,E,E,D,B,5,C,A,B,D,B,A,B,B,B,A,A,A,B,A,A,A,D,A,A,B
1,F,1,1,1,3,0,1,,1,,,,,,,4108304,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,407.4,531.5,540.6,595.0,0,1.0,160.0,120.0,100.0,120.0,120.0,F,F,E,E,4,P,D,E,D,B,A,B,B,B,B,B,B,B,C,B,B,E,B,C,B
2,M,1,1,1,2,0,2,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,535.9,435.7,567.4,595.4,0,1.0,100.0,120.0,100.0,120.0,140.0,D,D,B,B,4,D,A,B,D,B,A,B,B,A,B,B,A,A,B,B,A,E,A,B,B
1,F,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,538.9,518.6,537.0,606.4,0,1.0,120.0,140.0,120.0,120.0,120.0,E,F,B,B,4,D,A,C,D,B,A,B,B,B,A,B,A,B,C,A,A,E,B,C,B
3,F,1,3,1,2,0,2,1.0,0,4104907.0,41.0,PR,2.0,1.0,1.0,4104907,41,PR,0,1,1,0,,1055.0,1065.0,,,561.7,502.5,,1,1.0,120.0,160.0,100.0,140.0,120.0,D,E,A,B,5,D,A,B,C,B,A,B,B,A,B,B,A,A,B,A,A,B,A,A,B
3,F,1,1,1,2,0,2,1.0,0,4128104.0,41.0,PR,2.0,1.0,1.0,4128104,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,444.8,474.4,534.0,420.9,1,1.0,120.0,200.0,120.0,160.0,100.0,E,H,B,B,4,E,B,D,D,C,A,B,B,B,B,B,A,B,C,B,B,E,A,C,B
5,M,1,1,1,2,0,2,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,526.1,585.6,620.3,566.5,0,1.0,120.0,120.0,100.0,120.0,80.0,C,E,F,C,4,D,A,C,D,A,A,B,B,B,A,A,A,A,C,A,A,D,B,B,B
2,F,1,1,1,2,0,2,1.0,0,4114609.0,41.0,PR,2.0,1.0,1.0,4114609,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,518.5,450.2,436.5,536.4,1,1.0,140.0,120.0,120.0,120.0,60.0,B,D,A,C,4,F,A,B,D,B,A,B,A,B,A,A,A,A,B,A,A,C,A,B,B
2,M,1,1,1,2,0,3,1.0,0,4118204.0,41.0,PR,4.0,1.0,1.0,4118204,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,499.7,568.4,550.5,522.8,0,1.0,140.0,200.0,160.0,160.0,180.0,B,E,D,B,4,G,A,B,D,B,A,B,B,B,A,B,A,A,C,A,B,E,A,B,B
17,F,3,1,1,1,14,1,,0,,,,,,,4104808,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,439.1,459.6,429.0,427.9,1,1.0,60.0,140.0,100.0,120.0,0.0,C,C,A,A,1,B,A,B,C,A,A,B,A,B,B,A,A,A,A,A,A,B,A,A,B
1,F,1,1,1,4,0,1,,0,,,,,,,4117909,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,452.7,465.6,450.7,531.9,0,1.0,100.0,120.0,120.0,120.0,40.0,E,D,C,C,3,G,A,B,C,B,B,B,B,B,A,A,A,A,B,A,B,D,A,B,B
2,M,3,3,1,2,0,2,1.0,0,,,,,,,4102109,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,613.6,603.1,554.3,554.2,0,1.0,140.0,180.0,160.0,180.0,200.0,B,B,B,B,4,B,B,B,C,A,A,B,A,A,A,A,A,A,A,A,A,B,A,A,B
3,F,1,3,1,1,1,1,,0,,,,,,,4102406,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,415.4,463.1,510.1,458.3,1,1.0,120.0,120.0,120.0,100.0,100.0,F,G,C,C,2,C,A,B,D,B,A,B,B,B,B,B,A,A,B,A,A,C,A,B,B
1,M,1,1,1,3,0,1,,1,,,,,,,4108304,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,404.1,493.7,618.0,585.4,0,1.0,120.0,200.0,180.0,140.0,140.0,E,F,B,D,5,E,A,B,D,B,A,B,B,B,A,A,A,B,B,A,A,E,A,B,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,4105904,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,477.3,556.6,537.5,615.5,0,1.0,100.0,120.0,120.0,120.0,60.0,D,E,C,B,3,C,A,C,D,C,A,B,A,B,A,A,A,B,A,A,A,D,A,B,B
2,F,1,1,1,2,0,2,1.0,0,4126256.0,41.0,PR,2.0,1.0,1.0,4126256,41,PR,1,1,1,1,1087.0,1057.0,1068.0,1078.0,382.5,466.6,465.0,410.9,0,1.0,120.0,120.0,100.0,100.0,60.0,C,C,C,B,4,F,A,C,D,A,B,B,A,B,B,B,A,B,D,B,A,E,A,B,B
3,F,1,1,1,2,0,2,1.0,0,,,,,,,4106902,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,381.6,495.0,505.8,541.5,1,1.0,120.0,120.0,120.0,120.0,80.0,E,E,B,B,4,C,A,C,D,B,A,B,B,B,A,B,A,B,B,B,A,D,A,B,B
6,F,1,1,1,1,4,1,,0,,,,,,,4121406,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,650.3,680.0,665.7,690.7,1,1.0,160.0,200.0,160.0,180.0,160.0,G,G,E,D,2,G,A,B,C,C,B,B,A,B,A,B,A,B,B,A,A,C,A,B,B
6,F,1,1,1,1,3,1,,0,,,,,,,4105805,41,PR,0,1,1,0,,1056.0,1066.0,,,548.7,530.1,,0,1.0,120.0,180.0,120.0,120.0,160.0,C,E,B,B,5,E,A,B,E,A,A,B,B,B,A,B,A,A,C,A,A,E,A,B,B
5,M,1,3,1,1,4,1,,0,,,,,,,4122404,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,626.7,635.9,559.5,710.0,0,1.0,160.0,200.0,200.0,200.0,200.0,E,B,C,B,4,E,A,C,D,B,D,C,A,B,A,B,A,B,B,A,A,E,A,B,B
2,F,1,3,1,2,0,2,1.0,0,,,,,,,4113205,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,467.5,494.4,534.7,439.2,0,1.0,120.0,200.0,160.0,140.0,180.0,E,F,C,D,4,G,A,C,D,B,A,B,B,B,A,A,A,B,B,A,A,E,A,A,B
13,M,2,1,1,1,16,1,,0,,,,,,,4119905,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,472.3,569.0,574.6,727.4,1,1.0,140.0,120.0,120.0,120.0,120.0,D,E,F,B,3,H,A,C,C,C,A,B,B,B,A,B,A,B,B,A,A,C,B,B,B
2,M,1,1,1,2,0,2,1.0,0,4111704.0,41.0,PR,2.0,1.0,1.0,4109708,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,579.4,635.5,530.6,636.6,0,1.0,140.0,120.0,120.0,120.0,120.0,G,D,D,A,4,H,A,C,D,B,A,B,A,B,A,B,A,A,C,A,A,E,A,B,B
3,M,1,3,1,2,0,2,1.0,0,,,,,,,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,462.2,573.5,560.0,543.3,0,1.0,80.0,120.0,80.0,120.0,140.0,E,D,C,C,4,F,A,C,D,B,A,C,B,B,B,B,A,B,C,A,A,E,A,A,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,4120903,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,558.8,642.8,600.9,595.0,0,1.0,140.0,200.0,160.0,160.0,120.0,D,E,C,B,3,D,A,B,C,B,A,B,B,B,A,B,A,B,B,A,A,D,A,B,B
12,M,1,1,1,2,0,2,,0,,,,,,,4114302,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,454.5,586.9,562.8,621.3,0,1.0,80.0,120.0,100.0,80.0,80.0,H,C,B,B,2,B,A,B,D,A,A,B,A,A,A,A,A,A,B,B,A,C,A,A,A
3,F,1,1,1,2,0,2,1.0,0,4113700.0,41.0,PR,2.0,1.0,1.0,4113700,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,526.5,560.9,592.0,585.2,0,1.0,120.0,200.0,120.0,140.0,160.0,E,D,C,C,3,C,A,B,D,B,A,B,B,B,A,B,A,A,C,A,A,C,A,A,B
2,F,1,2,1,2,0,2,1.0,0,,,,,,,4118204,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,453.7,454.2,388.1,353.6,0,1.0,120.0,120.0,80.0,100.0,80.0,B,C,F,A,4,B,A,B,C,B,C,D,B,B,B,B,A,B,C,B,B,D,A,B,B
7,F,1,1,1,1,6,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,409.7,529.2,531.0,547.7,1,1.0,120.0,120.0,120.0,120.0,100.0,B,C,B,B,1,C,A,B,B,A,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
1,M,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,497.6,347.4,344.5,558.7,0,1.0,100.0,120.0,140.0,120.0,120.0,C,G,C,D,4,E,A,C,D,C,A,B,A,B,B,B,A,B,C,A,B,D,B,C,B
2,F,1,1,1,2,0,2,1.0,0,4119806.0,41.0,PR,2.0,1.0,1.0,4104501,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,501.9,524.1,524.3,495.3,0,1.0,100.0,120.0,80.0,100.0,120.0,E,E,A,A,4,L,A,C,D,B,A,B,B,B,B,A,A,A,B,B,B,E,A,B,B
1,F,1,1,1,3,0,1,,1,,,,,,,4113304,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,535.7,506.8,563.2,475.2,0,1.0,120.0,180.0,120.0,140.0,180.0,G,G,E,D,3,H,C,D,D,C,A,B,B,B,A,A,A,B,C,A,A,D,A,B,B
6,M,1,1,1,2,0,2,,0,4105805.0,41.0,PR,2.0,1.0,1.0,4105805,41,PR,2,1,1,2,,1057.0,1068.0,,,348.4,316.1,,1,4.0,0.0,0.0,0.0,0.0,0.0,B,E,C,B,3,E,A,C,C,B,A,B,A,B,A,A,A,A,B,A,A,B,A,A,B
12,F,1,3,1,1,15,1,,0,,,,,,,4101804,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,483.6,464.9,418.5,504.4,0,1.0,120.0,100.0,100.0,100.0,0.0,H,E,A,B,3,F,A,B,D,B,A,B,B,B,A,B,A,A,B,A,A,D,B,B,B
4,F,1,1,1,1,2,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,487.1,461.7,473.8,386.5,0,1.0,80.0,120.0,80.0,100.0,120.0,D,F,C,D,2,D,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
5,M,1,1,1,1,1,1,,0,,,,,,,4104808,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,420.3,530.1,504.3,585.8,0,1.0,140.0,120.0,120.0,140.0,160.0,C,C,F,F,3,E,A,C,D,B,A,B,B,B,A,A,A,B,C,A,A,D,A,C,B
4,F,1,3,1,2,0,2,1.0,0,,,,,,,4116901,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,396.3,555.8,516.4,538.4,0,1.0,120.0,120.0,100.0,100.0,100.0,C,C,A,B,4,C,A,B,B,A,A,B,A,A,A,A,A,A,C,A,A,C,A,B,B
6,F,1,1,1,1,3,1,,0,,,,,,,4110706,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,508.1,589.8,589.1,510.6,1,1.0,160.0,200.0,160.0,180.0,200.0,E,E,C,D,3,G,A,B,C,C,A,B,A,B,A,B,A,A,B,A,A,D,A,A,B
12,F,2,1,1,1,16,1,,0,,,,,,,4101804,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,529.9,589.0,538.9,632.8,0,1.0,120.0,160.0,120.0,120.0,140.0,D,E,D,C,4,F,A,C,C,B,A,C,A,B,A,B,A,A,D,B,B,E,A,A,B
5,F,1,1,2,1,2,1,,0,,,,,,,4119905,41,PR,0,1,1,0,,1058.0,1067.0,,,446.6,407.6,,1,1.0,100.0,80.0,60.0,80.0,0.0,C,D,B,B,5,B,A,B,C,B,A,B,A,A,A,B,A,A,B,A,A,D,A,A,B
3,F,1,3,1,2,0,2,1.0,0,,,,,,,4106902,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,429.6,465.7,503.0,466.7,1,1.0,120.0,180.0,120.0,140.0,100.0,C,G,C,B,4,C,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
1,F,1,4,1,3,0,1,,1,,,,,,,4123501,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,519.0,581.4,592.2,605.1,1,1.0,120.0,140.0,120.0,140.0,140.0,G,C,E,B,4,E,A,C,E,B,A,B,B,B,B,B,A,B,B,A,B,E,A,D,B
1,M,1,1,1,3,0,1,,1,,,,,,,4106902,41,PR,0,1,1,0,,1057.0,1068.0,,,610.0,618.4,,0,1.0,160.0,180.0,160.0,140.0,160.0,F,E,D,D,4,L,D,E,E,E,A,B,B,B,B,B,A,B,B,A,B,E,A,E,B
2,M,1,1,1,2,0,3,1.0,0,4115200.0,41.0,PR,4.0,1.0,1.0,4102109,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,590.6,605.1,578.2,668.0,0,1.0,140.0,200.0,140.0,180.0,180.0,F,F,E,D,4,D,B,C,D,C,A,C,B,B,B,B,B,A,B,A,B,D,B,C,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,4118402,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,447.1,478.0,517.9,361.5,0,1.0,140.0,120.0,100.0,120.0,120.0,F,E,B,D,5,F,A,C,D,B,A,B,B,B,B,B,A,A,B,B,B,E,A,C,B
13,M,3,3,1,1,0,1,,0,,,,,,,4119905,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,526.0,542.1,482.1,549.9,0,1.0,120.0,120.0,80.0,120.0,80.0,C,C,C,B,6,D,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,E,B,B,B
5,F,1,4,1,1,3,1,,0,,,,,,,4107652,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,478.6,514.9,629.1,459.2,1,1.0,120.0,180.0,120.0,120.0,0.0,D,D,B,B,4,E,A,B,C,B,A,B,B,B,A,B,A,A,C,A,A,E,A,A,B
12,F,2,1,1,1,14,1,,0,,,,,,,4115200,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,468.4,498.7,501.2,501.8,1,1.0,120.0,80.0,80.0,60.0,100.0,F,E,D,B,3,F,A,B,D,B,B,B,A,A,A,A,A,B,B,A,A,C,A,B,B
2,M,3,1,1,2,0,2,1.0,0,4113700.0,41.0,PR,4.0,1.0,1.0,4113700,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,589.0,592.9,558.1,691.8,0,1.0,160.0,180.0,140.0,160.0,160.0,E,F,D,D,4,E,A,D,D,B,A,B,B,B,A,B,B,B,C,B,A,E,B,B,B
2,M,1,3,1,2,0,2,1.0,0,,,,,,,4113700,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,473.5,405.4,506.6,541.8,0,1.0,120.0,100.0,100.0,120.0,80.0,B,C,E,C,3,C,A,B,B,A,A,B,A,B,A,B,A,A,B,B,A,D,A,A,B
1,F,1,1,1,3,0,1,,1,,,,,,,4107207,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,434.9,520.9,528.2,578.0,0,1.0,100.0,160.0,80.0,100.0,120.0,E,G,B,E,4,G,A,C,D,B,B,B,B,B,A,B,A,A,B,A,A,E,A,B,B
11,M,1,1,1,1,10,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1188.0,1175.0,1179.0,1184.0,529.3,618.1,602.0,532.6,0,1.0,160.0,200.0,180.0,160.0,200.0,C,C,C,B,3,C,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,D,A,B,B
13,M,1,3,1,1,16,1,,0,,,,,,,4106902,41,PR,1,1,1,1,1187.0,1177.0,1181.0,1183.0,579.8,607.9,588.2,703.4,0,1.0,120.0,200.0,120.0,160.0,180.0,B,B,B,B,3,G,A,B,C,B,A,B,A,A,A,B,A,B,B,A,A,C,A,B,B
2,F,1,3,1,2,0,2,1.0,0,,,,,,,4101804,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,560.1,543.3,577.1,573.0,0,1.0,120.0,120.0,120.0,120.0,0.0,B,D,C,B,4,G,A,B,D,B,A,B,B,B,C,B,A,B,B,A,B,D,A,B,B
2,M,1,1,1,2,0,2,1.0,0,4127809.0,41.0,PR,2.0,1.0,1.0,4128500,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,485.0,550.6,484.3,501.5,0,1.0,80.0,120.0,100.0,80.0,60.0,E,G,A,D,4,I,D,D,D,D,B,C,B,B,A,B,A,B,D,A,A,E,A,B,B
2,F,1,1,1,2,0,2,1.0,0,4109609.0,41.0,PR,2.0,1.0,1.0,4109609,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,440.1,466.9,507.1,426.6,0,1.0,120.0,120.0,120.0,120.0,120.0,E,E,D,D,4,K,A,D,D,B,A,C,A,B,B,B,A,B,E,A,A,E,A,A,B
2,F,1,1,1,2,0,2,1.0,0,4111803.0,41.0,PR,2.0,1.0,1.0,4111803,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,481.8,587.1,484.5,496.2,0,1.0,80.0,120.0,80.0,120.0,80.0,C,E,C,B,4,C,A,B,D,B,A,B,A,B,A,B,A,A,A,B,A,E,A,B,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,4106506,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,472.0,476.9,478.5,519.1,0,1.0,120.0,120.0,100.0,120.0,140.0,E,E,F,D,3,G,A,C,E,B,B,B,B,C,B,B,A,A,B,A,A,D,A,B,B
16,M,2,1,1,1,13,1,,0,,,,,,,4105805,41,PR,1,1,1,1,1088.0,1058.0,1067.0,1077.0,460.7,575.0,520.9,582.5,1,1.0,100.0,120.0,100.0,120.0,100.0,B,B,D,B,2,E,A,B,C,B,A,B,A,B,A,A,A,A,B,A,A,C,A,B,B
2,F,1,1,1,2,0,3,1.0,0,4113700.0,41.0,PR,4.0,1.0,1.0,4113700,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,601.3,583.3,604.3,706.1,0,1.0,120.0,120.0,120.0,120.0,140.0,E,E,E,B,5,C,A,B,C,B,B,B,B,B,A,B,A,A,C,A,B,E,B,A,B
3,F,1,1,1,2,0,3,1.0,0,4106902.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,406.3,444.6,494.4,448.0,0,1.0,120.0,180.0,140.0,140.0,100.0,D,F,C,D,3,K,A,C,D,B,A,B,A,B,B,B,A,B,C,A,B,A,A,B,B
11,M,1,3,1,1,8,1,,0,,,,,,,4113700,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,529.3,613.5,569.3,606.0,0,1.0,140.0,80.0,120.0,120.0,80.0,C,C,B,B,1,I,A,B,B,A,A,B,B,B,A,B,A,A,B,A,B,B,A,B,B
2,F,1,1,1,2,0,2,1.0,0,,,,,,,4125605,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,531.6,595.4,563.8,468.0,0,1.0,100.0,100.0,80.0,120.0,80.0,H,H,D,D,3,I,A,C,C,B,A,B,B,B,B,B,A,B,C,B,B,D,A,C,B
3,M,1,1,1,2,0,2,1.0,0,4128401.0,41.0,PR,2.0,1.0,1.0,4106407,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,467.5,482.3,477.9,458.9,0,1.0,120.0,120.0,80.0,100.0,80.0,B,D,B,B,4,B,A,B,D,B,B,B,B,B,B,A,A,B,B,A,A,B,A,B,B
3,F,1,1,1,2,0,2,1.0,0,4125506.0,41.0,PR,4.0,1.0,1.0,4106902,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,410.4,469.3,436.3,447.2,0,1.0,120.0,140.0,120.0,120.0,120.0,E,E,C,F,5,C,C,D,D,C,A,B,B,B,B,B,A,B,D,A,B,B,A,D,B
5,M,1,3,1,1,2,1,,0,,,,,,,4106902,41,PR,0,1,1,0,,1058.0,1067.0,,,522.3,549.4,,0,1.0,140.0,120.0,120.0,120.0,120.0,E,E,F,D,2,C,A,B,D,B,A,B,B,B,B,B,A,B,E,A,A,C,A,C,B
1,M,1,1,1,3,0,1,,1,,,,,,,4127700,41,PR,1,1,1,1,1086.0,1055.0,1065.0,1076.0,526.5,560.7,496.3,413.5,0,1.0,120.0,120.0,120.0,120.0,0.0,B,D,F,B,3,E,A,B,D,C,A,B,A,B,A,B,A,B,B,A,A,D,A,B,B
2,F,1,1,1,3,0,1,,1,,,,,,,4118204,41,PR,1,1,1,1,1085.0,1057.0,1068.0,1075.0,424.2,453.2,427.4,425.8,1,1.0,100.0,100.0,80.0,80.0,40.0,A,B,B,B,4,A,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
2,F,1,1,1,3,0,1,,1,,,,,,,4114609,41,PR,1,1,1,1,1087.0,1056.0,1066.0,1078.0,474.1,569.5,602.1,646.8,0,1.0,160.0,180.0,140.0,140.0,180.0,C,C,D,B,3,H,A,C,C,B,A,B,B,B,A,B,A,B,B,A,A,D,B,A,B
